name,index,slug,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,Date
Aaron Gordon,126,gordoaa01,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,2220,8,14,0,3,2,3,0,7,9,0,1,1,1,18.7,2019-01-02
Aaron Gordon,443,gordoaa01,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1872,4,8,0,1,2,4,0,3,6,1,1,2,0,10.0,2019-01-04
Aaron Gordon,810,gordoaa01,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,2211,5,17,2,7,5,8,0,5,1,1,1,2,1,7.4,2019-01-06
Aaron Gordon,977,gordoaa01,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,2046,3,13,1,5,3,4,2,7,1,1,0,0,0,6.9,2019-01-07
Aaron Gordon,1291,gordoaa01,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,2163,7,17,2,6,2,3,1,9,3,0,0,1,3,11.8,2019-01-09
Aaron Gordon,1754,gordoaa01,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2220,7,14,1,5,13,13,2,10,2,0,1,6,3,20.3,2019-01-12
Aaron Gordon,1920,gordoaa01,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,2104,8,15,2,3,4,4,2,6,5,2,0,3,1,20.0,2019-01-13
Aaron Gordon,2404,gordoaa01,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,2224,5,11,0,3,2,2,2,6,2,1,0,2,6,7.5,2019-01-16
Aaron Gordon,2619,gordoaa01,ORLANDO MAGIC,HOME,BROOKLYN NETS,LOSS,1835,9,13,3,4,2,2,1,3,5,0,0,1,1,21.2,2019-01-18
Aaron Gordon,3470,gordoaa01,ORLANDO MAGIC,AWAY,BROOKLYN NETS,LOSS,1490,5,9,0,1,0,0,3,3,2,0,1,2,3,7.6,2019-01-23
Aaron Gordon,3678,gordoaa01,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,2334,8,16,2,8,4,6,4,7,6,0,1,3,0,20.0,2019-01-25
Aaron Gordon,4002,gordoaa01,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,LOSS,2423,9,18,3,8,2,3,2,8,4,0,0,4,2,15.4,2019-01-27
Aaron Gordon,4295,gordoaa01,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,LOSS,2214,6,19,2,9,2,2,6,3,7,0,1,1,2,14.0,2019-01-29
Aaron Gordon,4650,gordoaa01,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,1999,4,9,0,2,2,4,0,3,1,0,0,0,0,6.1,2019-01-31
Aaron Gordon,4919,gordoaa01,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,2253,6,17,3,7,0,0,0,2,5,1,1,2,2,8.5,2019-02-02
Aaron Gordon,5305,gordoaa01,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,2155,6,11,1,5,5,9,1,5,10,3,1,8,6,13.6,2019-02-05
Aaron Gordon,5593,gordoaa01,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,WIN,1907,5,13,1,4,8,8,1,5,5,0,1,2,2,15.5,2019-02-07
Aaron Gordon,5991,gordoaa01,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,WIN,1748,6,15,0,1,2,3,1,5,0,1,0,2,4,5.1,2019-02-09
Aaron Gordon,6120,gordoaa01,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,1544,4,9,2,5,2,4,0,3,3,0,1,1,4,7.6,2019-02-10
Aaron Gordon,6374,gordoaa01,ORLANDO MAGIC,AWAY,NEW ORLEANS PELICANS,WIN,2001,6,10,2,4,6,6,1,3,4,2,0,2,1,19.4,2019-02-12
Aaron Gordon,6736,gordoaa01,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1894,4,17,1,6,1,1,2,9,4,1,0,2,3,4.4,2019-02-14
Aaron Gordon,6957,gordoaa01,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,1937,7,14,2,7,1,4,0,5,4,0,3,4,2,10.4,2019-02-22
Aaron Gordon,7367,gordoaa01,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,WIN,1793,2,11,0,4,3,4,0,7,6,0,0,2,1,3.6,2019-02-24
Aaron Gordon,7623,gordoaa01,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,1945,8,16,1,3,9,12,3,4,2,1,1,3,4,18.6,2019-02-26
Aaron Gordon,7919,gordoaa01,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,2182,9,15,2,5,2,2,3,12,3,0,1,3,1,20.2,2019-02-28
Aaron Gordon,8258,gordoaa01,ORLANDO MAGIC,AWAY,INDIANA PACERS,WIN,2184,5,15,1,3,0,0,1,7,6,0,1,2,2,7.4,2019-03-02
Aaron Gordon,8443,gordoaa01,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,2464,7,16,1,5,0,0,1,7,3,0,1,2,3,9.0,2019-03-03
Aaron Gordon,8691,gordoaa01,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,2320,9,18,2,7,4,6,2,7,3,0,0,2,1,17.4,2019-03-05
Aaron Gordon,9103,gordoaa01,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1912,7,15,1,2,3,5,1,5,3,0,3,3,3,11.7,2019-03-08
Aaron Gordon,9462,gordoaa01,ORLANDO MAGIC,AWAY,MEMPHIS GRIZZLIES,LOSS,1859,5,17,1,6,2,2,2,5,6,0,0,2,2,7.4,2019-03-10
Aaron Gordon,9876,gordoaa01,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,2030,4,13,3,6,2,2,2,7,4,1,1,2,1,11.1,2019-03-13
Aaron Gordon,9992,gordoaa01,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1724,7,16,3,6,4,4,0,6,4,1,1,2,1,16.5,2019-03-14
Aaron Gordon,10452,gordoaa01,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,2293,9,16,3,6,1,2,2,6,3,1,0,2,1,17.9,2019-03-17
Aaron Gordon,10929,gordoaa01,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1820,7,15,4,7,2,2,2,5,6,2,1,0,1,21.7,2019-03-20
Aaron Gordon,11342,gordoaa01,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,2358,2,8,0,3,1,2,0,3,4,0,0,2,1,1.1,2019-03-22
Aaron Gordon,11751,gordoaa01,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,2116,5,12,2,4,0,0,2,6,3,2,0,3,3,8.7,2019-03-25
Aaron Gordon,11898,gordoaa01,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,2207,6,17,1,4,1,2,4,6,2,1,0,2,2,8.3,2019-03-26
Aaron Gordon,12143,gordoaa01,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1947,7,12,1,4,5,5,0,3,4,1,0,3,3,14.9,2019-03-28
Aaron Gordon,12432,gordoaa01,ORLANDO MAGIC,AWAY,INDIANA PACERS,WIN,2265,9,15,4,6,1,1,4,6,7,2,0,1,3,25.4,2019-03-30
Aaron Holiday,879,holidaa01,INDIANA PACERS,AWAY,TORONTO RAPTORS,LOSS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2019-01-06
Aaron Holiday,1382,holidaa01,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,370,0,2,0,1,4,4,0,0,2,0,0,0,0,4.0,2019-01-09
Aaron Holiday,1702,holidaa01,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,126,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0,2019-01-11
Aaron Holiday,2231,holidaa01,INDIANA PACERS,HOME,PHOENIX SUNS,WIN,289,2,2,1,1,0,0,0,2,2,1,2,0,0,8.8,2019-01-15
Aaron Holiday,2601,holidaa01,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,LOSS,69,0,2,0,2,0,0,0,0,1,0,0,0,0,-0.7,2019-01-17
Aaron Holiday,2968,holidaa01,INDIANA PACERS,HOME,DALLAS MAVERICKS,WIN,90,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,2019-01-19
Aaron Holiday,3031,holidaa01,INDIANA PACERS,HOME,CHARLOTTE HORNETS,WIN,134,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0,2019-01-20
Aaron Holiday,3948,holidaa01,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,LOSS,948,3,11,1,4,0,0,1,2,1,1,0,1,3,1.3,2019-01-26
Aaron Holiday,4197,holidaa01,INDIANA PACERS,HOME,GOLDEN STATE WARRIORS,LOSS,1334,4,8,4,5,0,0,0,2,4,0,0,2,2,8.6,2019-01-28
Aaron Holiday,4490,holidaa01,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,LOSS,1263,2,8,2,8,4,4,0,0,3,0,1,0,3,6.8,2019-01-30
Aaron Holiday,4706,holidaa01,INDIANA PACERS,AWAY,ORLANDO MAGIC,LOSS,865,0,4,0,1,0,0,0,2,0,0,0,1,2,-4.0,2019-01-31
Aaron Holiday,5066,holidaa01,INDIANA PACERS,AWAY,MIAMI HEAT,WIN,827,1,5,0,1,0,0,0,0,1,0,0,2,0,-2.4,2019-02-02
Aaron Holiday,5211,holidaa01,INDIANA PACERS,AWAY,NEW ORLEANS PELICANS,WIN,807,2,5,1,3,3,4,1,1,2,0,0,1,3,5.1,2019-02-04
Aaron Holiday,5297,holidaa01,INDIANA PACERS,HOME,LOS ANGELES LAKERS,WIN,1360,7,10,3,4,0,0,0,1,3,1,0,0,2,15.4,2019-02-05
Aaron Holiday,5694,holidaa01,INDIANA PACERS,HOME,LOS ANGELES CLIPPERS,WIN,1285,1,9,0,3,0,0,0,3,3,0,1,3,1,-3.6,2019-02-07
Aaron Holiday,6029,holidaa01,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,841,2,8,0,3,0,0,0,1,1,1,0,0,1,0.8,2019-02-09
Aaron Holiday,7870,holidaa01,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,183,1,3,1,2,0,0,0,0,0,0,0,0,1,0.9,2019-02-27
Aaron Holiday,8018,holidaa01,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,840,1,4,0,0,0,0,0,1,2,0,0,2,0,-0.7,2019-02-28
Aaron Holiday,9038,holidaa01,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,143,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0,2019-03-07
Aaron Holiday,9478,holidaa01,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,492,2,4,1,2,1,1,0,0,1,1,0,0,1,5.3,2019-03-10
Aaron Holiday,9814,holidaa01,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,405,1,2,0,0,0,0,0,0,0,0,0,0,1,0.6,2019-03-12
Aaron Holiday,10878,holidaa01,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,815,1,3,1,2,1,2,0,1,1,1,0,1,1,2.5,2019-03-19
Aaron Holiday,11156,holidaa01,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1015,4,4,3,3,2,2,0,1,1,0,0,2,3,9.6,2019-03-21
Aaron Holiday,11600,holidaa01,INDIANA PACERS,HOME,DENVER NUGGETS,WIN,1131,4,8,1,3,2,2,0,2,5,0,0,0,2,10.3,2019-03-24
Abdel Nader,188,naderab01,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,860,4,6,2,3,0,0,0,4,1,0,0,0,4,7.7,2019-01-02
Abdel Nader,572,naderab01,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,WIN,835,0,3,0,1,0,0,0,1,0,0,0,0,1,-2.2,2019-01-04
Abdel Nader,816,naderab01,OKLAHOMA CITY THUNDER,HOME,WASHINGTON WIZARDS,LOSS,840,4,7,1,1,0,0,0,0,0,1,0,0,0,6.7,2019-01-06
Abdel Nader,1238,naderab01,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,562,0,2,0,0,0,0,0,1,0,0,0,1,3,-3.3,2019-01-08
Abdel Nader,1493,naderab01,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,LOSS,733,4,4,1,1,0,0,1,2,0,1,0,1,0,9.1,2019-01-10
Abdel Nader,1768,naderab01,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1019,6,6,1,1,2,2,0,2,2,0,1,0,0,15.9,2019-01-12
Abdel Nader,2304,naderab01,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,LOSS,865,1,6,1,3,0,0,0,2,0,0,0,1,1,-1.6,2019-01-15
Abdel Nader,2607,naderab01,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,LOSS,684,0,3,0,2,1,2,0,1,0,0,0,0,0,-1.2,2019-01-17
Abdel Nader,2944,naderab01,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,473,1,2,1,1,0,0,0,2,0,0,0,0,3,1.4,2019-01-19
Abdel Nader,3088,naderab01,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1221,6,9,2,3,2,3,0,6,2,2,0,2,2,14.1,2019-01-21
Abdel Nader,3372,naderab01,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,607,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4,2019-01-22
Abdel Nader,3649,naderab01,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,WIN,725,1,5,0,2,1,2,1,3,0,0,0,0,0,1.1,2019-01-24
Abdel Nader,4115,naderab01,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,WIN,923,2,4,0,2,0,0,0,2,0,0,0,0,2,1.8,2019-01-27
Abdel Nader,4374,naderab01,OKLAHOMA CITY THUNDER,AWAY,ORLANDO MAGIC,WIN,990,2,6,1,3,0,0,0,2,0,0,0,0,1,1.8,2019-01-29
Abdel Nader,4809,naderab01,OKLAHOMA CITY THUNDER,AWAY,MIAMI HEAT,WIN,899,0,5,0,2,2,2,1,4,1,0,0,1,4,-1.5,2019-02-01
Abdel Nader,5323,naderab01,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,970,4,5,1,2,2,3,0,1,0,2,0,1,1,9.6,2019-02-05
Abdel Nader,5653,naderab01,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,1184,3,5,1,3,0,0,0,1,0,0,0,0,2,4.2,2019-02-07
Abdel Nader,6063,naderab01,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,237,0,2,0,1,0,0,1,1,0,0,0,1,2,-2.2,2019-02-09
Abdel Nader,6355,naderab01,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,741,0,3,0,0,0,0,0,3,1,0,0,0,2,-1.3,2019-02-11
Abdel Nader,6753,naderab01,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,832,1,2,0,1,0,1,0,2,0,0,1,0,0,1.9,2019-02-14
Abdel Nader,7016,naderab01,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,623,1,2,1,2,0,0,1,0,0,1,0,0,1,3.3,2019-02-22
Abdel Nader,7300,naderab01,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,576,1,3,0,1,0,0,0,0,0,0,0,0,3,-0.9,2019-02-23
Abdel Nader,7664,naderab01,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,446,1,1,0,0,0,1,0,1,0,0,1,0,0,2.3,2019-02-26
Abdel Nader,7981,naderab01,OKLAHOMA CITY THUNDER,HOME,PHILADELPHIA 76ERS,LOSS,1001,1,1,1,1,2,2,0,3,0,1,0,0,1,6.2,2019-02-28
Abdel Nader,8306,naderab01,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,LOSS,1482,1,6,0,2,0,0,1,4,3,1,0,0,1,2.8,2019-03-02
Abdel Nader,8424,naderab01,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,1364,4,10,3,6,4,4,0,2,1,2,0,1,2,11.1,2019-03-03
Abdel Nader,8774,naderab01,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,774,1,5,1,5,0,0,0,1,1,0,2,0,0,2.3,2019-03-05
Abdel Nader,9032,naderab01,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,WIN,1309,2,4,0,2,0,0,0,2,0,1,0,0,1,3.2,2019-03-07
Abdel Nader,9133,naderab01,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,1118,2,4,1,1,1,1,1,5,0,1,3,1,1,7.9,2019-03-08
Abdel Nader,9658,naderab01,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,WIN,853,1,1,1,1,0,0,0,1,0,0,0,1,2,1.2,2019-03-11
Abdel Nader,9966,naderab01,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,WIN,829,0,3,0,1,2,2,0,3,1,0,0,1,3,-0.7,2019-03-13
Abdel Nader,10026,naderab01,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,996,3,6,2,5,2,2,0,1,0,1,0,0,2,7.5,2019-03-14
Abdel Nader,10411,naderab01,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,LOSS,1159,1,4,1,2,0,0,0,6,0,0,1,1,2,1.3,2019-03-16
Abdel Nader,10769,naderab01,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,933,2,7,0,4,2,3,1,1,1,0,1,3,1,0.5,2019-03-18
Abdel Nader,11054,naderab01,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,LOSS,662,2,4,1,3,0,1,0,2,0,0,0,0,1,2.8,2019-03-20
Abdel Nader,11365,naderab01,OKLAHOMA CITY THUNDER,AWAY,TORONTO RAPTORS,WIN,526,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4,2019-03-22
Abdel Nader,11785,naderab01,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,711,1,4,0,1,0,0,1,1,0,1,1,0,0,2.3,2019-03-25
Abdel Nader,12087,naderab01,OKLAHOMA CITY THUNDER,HOME,INDIANA PACERS,WIN,784,1,2,1,2,0,0,0,2,1,0,0,0,0,3.3,2019-03-27
Abdel Nader,12397,naderab01,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,690,2,4,1,3,0,0,0,1,0,0,0,0,2,2.5,2019-03-29
Abdel Nader,12752,naderab01,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,LOSS,426,0,3,0,2,0,0,0,0,0,1,0,0,2,-1.9,2019-03-31
Al Horford,132,horfoal01,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,1409,7,9,1,2,0,0,0,5,4,0,2,1,1,15.8,2019-01-02
Al Horford,408,horfoal01,BOSTON CELTICS,HOME,DALLAS MAVERICKS,WIN,1494,4,10,2,3,0,0,3,5,8,2,0,1,1,14.4,2019-01-04
Al Horford,914,horfoal01,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,1462,6,7,0,1,0,0,1,8,5,1,1,1,0,16.8,2019-01-07
Al Horford,1330,horfoal01,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,1094,3,6,0,0,0,0,0,3,8,1,0,1,4,7.9,2019-01-09
Al Horford,1542,horfoal01,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,1390,1,8,0,4,0,0,1,3,3,0,1,2,2,-1.6,2019-01-10
Al Horford,1778,horfoal01,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1813,5,10,0,2,0,0,2,9,4,4,1,2,2,13.8,2019-01-12
Al Horford,2105,horfoal01,BOSTON CELTICS,AWAY,BROOKLYN NETS,LOSS,1185,3,5,0,0,2,2,1,1,4,0,0,1,3,7.3,2019-01-14
Al Horford,2327,horfoal01,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,2031,9,12,3,4,3,3,1,6,1,0,2,2,2,21.0,2019-01-16
Al Horford,2634,horfoal01,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,1856,8,10,2,3,0,0,0,3,1,0,0,0,1,15.4,2019-01-18
Al Horford,2853,horfoal01,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1653,4,11,1,4,4,4,4,5,0,0,2,3,2,8.8,2019-01-19
Al Horford,3066,horfoal01,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,1945,8,11,0,1,0,0,6,6,4,1,3,4,2,18.6,2019-01-21
Al Horford,3874,horfoal01,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,LOSS,2078,10,15,2,5,0,0,5,8,3,1,2,5,5,18.9,2019-01-26
Al Horford,4160,horfoal01,BOSTON CELTICS,HOME,BROOKLYN NETS,WIN,1758,6,11,0,1,2,2,4,7,5,1,6,2,0,20.3,2019-01-28
Al Horford,4411,horfoal01,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,1451,7,9,0,0,0,0,4,3,5,2,2,1,1,19.7,2019-01-30
Al Horford,4727,horfoal01,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1619,7,12,0,1,0,0,4,5,4,0,1,1,1,14.8,2019-02-01
Al Horford,5077,horfoal01,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,WIN,1840,8,13,1,2,0,0,0,2,9,2,1,1,3,18.5,2019-02-03
Al Horford,5313,horfoal01,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,1794,4,9,1,4,0,0,2,4,8,0,3,2,2,11.8,2019-02-05
Al Horford,5611,horfoal01,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,LOSS,1515,5,9,1,2,1,1,3,4,2,2,1,2,3,11.9,2019-02-07
Al Horford,5990,horfoal01,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,LOSS,1920,3,11,0,3,0,0,0,7,5,1,1,1,1,5.4,2019-02-09
Al Horford,6368,horfoal01,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,WIN,2111,9,16,3,5,2,2,4,4,5,4,0,1,5,23.9,2019-02-12
Al Horford,6478,horfoal01,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1863,6,12,3,5,2,2,3,11,8,1,0,0,1,22.6,2019-02-13
Al Horford,6768,horfoal01,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,2228,8,21,2,6,3,4,7,10,5,2,3,0,3,23.4,2019-02-21
Al Horford,7136,horfoal01,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,1811,9,15,1,3,0,0,0,2,3,0,1,1,1,14.1,2019-02-23
Al Horford,7642,horfoal01,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,1447,4,10,0,4,0,0,0,4,5,0,0,0,0,7.3,2019-02-26
Al Horford,7803,horfoal01,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2156,6,16,1,7,0,0,1,4,5,1,2,3,4,7.4,2019-02-27
Al Horford,8046,horfoal01,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1752,7,11,0,0,4,5,1,5,3,1,1,0,1,18.3,2019-03-01
Al Horford,8380,horfoal01,BOSTON CELTICS,HOME,HOUSTON ROCKETS,LOSS,1856,7,8,1,2,4,4,2,4,2,0,0,1,1,18.8,2019-03-03
Al Horford,8729,horfoal01,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,WIN,1306,2,3,1,1,0,0,0,4,4,1,0,0,3,7.5,2019-03-05
Al Horford,8806,horfoal01,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,WIN,1852,8,10,1,2,4,4,1,10,7,1,1,3,2,23.7,2019-03-06
Al Horford,9284,horfoal01,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,1672,4,6,0,1,2,2,2,6,4,0,0,3,2,9.6,2019-03-09
Al Horford,9618,horfoal01,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,1533,5,12,0,3,0,0,0,1,4,2,0,1,1,7.3,2019-03-11
Al Horford,10004,horfoal01,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1754,5,9,1,2,1,3,1,4,6,1,1,1,1,13.3,2019-03-14
Al Horford,10374,horfoal01,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1701,3,8,0,1,3,4,1,5,3,0,1,3,3,5.0,2019-03-16
Al Horford,10620,horfoal01,BOSTON CELTICS,HOME,DENVER NUGGETS,LOSS,2000,8,15,4,8,0,0,2,4,6,1,1,1,1,19.8,2019-03-18
Al Horford,10938,horfoal01,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,LOSS,2094,9,16,2,4,2,2,1,5,5,1,0,1,4,18.5,2019-03-20
Al Horford,11823,horfoal01,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,1591,7,10,0,1,5,6,2,6,5,0,1,2,1,19.4,2019-03-26
Al Horford,12316,horfoal01,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,2079,8,15,1,3,2,2,2,5,2,0,3,0,1,17.7,2019-03-29
Al-Farouq Aminu,29,aminual01,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2253,4,9,3,5,2,2,1,7,2,0,2,1,3,11.7,2019-01-01
Al-Farouq Aminu,388,aminual01,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1968,6,11,2,5,2,2,4,11,2,0,0,0,3,17.0,2019-01-04
Al-Farouq Aminu,656,aminual01,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,1794,3,6,1,2,0,0,4,4,2,1,0,2,2,7.6,2019-01-05
Al-Farouq Aminu,974,aminual01,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,WIN,1974,3,12,1,4,1,2,2,7,2,2,1,0,2,7.2,2019-01-07
Al-Farouq Aminu,1338,aminual01,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,WIN,1625,2,6,0,2,4,4,0,4,1,0,3,1,0,7.6,2019-01-09
Al-Farouq Aminu,1611,aminual01,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,1724,4,8,1,3,0,0,0,5,2,2,0,0,0,9.9,2019-01-11
Al-Farouq Aminu,1956,aminual01,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,2057,2,7,1,5,4,4,3,9,2,1,0,1,2,10.3,2019-01-13
Al-Farouq Aminu,2067,aminual01,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,1571,3,8,1,2,6,9,6,5,3,2,0,1,3,15.0,2019-01-14
Al-Farouq Aminu,2348,aminual01,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,WIN,1700,6,7,2,3,0,0,2,7,1,0,0,2,0,13.7,2019-01-16
Al-Farouq Aminu,2655,aminual01,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,1923,4,12,3,6,4,4,1,7,2,2,0,0,4,12.8,2019-01-18
