,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,fantasy_points_8_9,projected_points,projected_points_draftkings,projected_value,projected_value_draftkings
4984,Jerome Robinson,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,11.1,0.6,0.06,0.04,1.63,0.0,0.14,0.02,0.48,14.8,11.55,16.73,0.7078398195149465,-5.18,0.0,0.0,0,5.563822694764241,3.38,3.57,675,595
4985,Emmanuel Mudiay,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,20.82,1.93,0.0,0.99,0.34,0.41,0.66,0.44,0.7,12.64,10.47,15.63,0.6897173782321105,-5.16,0.0,0.0,0,8.81626643691773,8.47,7.74,1695,1290
4986,Troy Daniels,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,20.53,0.83,0.6,0.23,1.27,0.2,0.61,0.65,0.43,4.69,6.3,5.0,1.2166666666666666,1.2999999999999998,0.0,0.0,0,10.816938188283615,8.86,8.18,1773,1364
4987,Brandon Ingram,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,31.59,4.04,3.91,3.66,8.08,3.7,0.14,0.84,2.46,39.5,37.18,42.13,0.8852306978900997,-4.950000000000003,0.0,0.0,0,36.35429813053226,39.2,43.31,7839,7217
4988,Zion Williamson,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,28.6,7.95,0.0,4.71,6.8,0.77,0.6,0.14,3.08,38.56,38.14,38.23,0.9977058373693602,-0.0899999999999963,0.0,0.0,0,28.08421685370935,29.07,31.71,5813,5284
4989,Lonzo Ball,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,32.33,2.07,1.07,1.05,8.26,7.9,1.05,1.63,3.32,34.84,35.28,35.83,0.9850665218571817,-0.5499999999999972,0.0,0.0,0,33.92265522017871,34.88,34.81,6976,5801
4990,Josh Hart,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,23.69,0.81,2.28,1.56,8.6,0.8,0.56,0.63,1.31,21.39,25.25,16.63,1.4889393079977313,8.620000000000001,0.0,1.6076481779516458,0,23.031914757236848,23.8,26.34,4760,4389
4991,Derrick Favors,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,20.88,2.76,0.28,0.95,11.16,0.02,1.41,0.19,2.29,25.77,23.63,25.93,0.9145933902710731,-2.3000000000000007,0.0,0.0,0,22.293753376483636,23.24,23.48,4648,3914
4992,E'Twaun Moore,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,18.41,1.92,0.28,0.41,2.86,0.0,0.57,0.35,1.41,10.67,10.4,9.43,1.093000958772771,0.9700000000000006,0.0,0.0,0,8.780849373597789,9.87,9.94,1974,1657
4993,Jrue Holiday,NEW ORLEANS PELICANS,2020-07-30,AWAY,UTAH JAZZ,32.45,5.46,0.61,1.29,6.02,7.64,0.39,1.14,3.59,41.97,37.92,41.93,0.9065921267179129,-4.009999999999998,0.0,0.0,0,33.86600055597239,33.72,36.09,6745,6016
