,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
36,Enes Kanter,C,NO@POR,POR,26.18,5237,6200,-$963,26.0,4874,30.46,33.17,36.57,9.0, , ,0.0,0.0
37,Tyler Herro,SG,CLE@MIA,MIA,25.74,5147,6200,-$1053,27.23,5106,28.58,23.9,21.57,26.0,GTD,Shoulder,0.0,0.0
38,Al Horford,C,OKC@CHI,OKC,29.04,5808,6200,-$392,30.14,5652,31.57,36.36,32.67,26.0,O,Rest,0.0,0.0
39,Darius Garland,PG,CLE@MIA,CLE,20.42,4084,6200,-$2116,21.91,4109,28.21,27.94,29.9,3.0, , ,0.0,0.0
40,Dennis Schroder,PG,MIN@LAL,LAL,24.29,4859,6200,-$1341,25.23,4730,26.88,29.27,36.1,25.0, , ,0.07872224262924332,0.0
41,Kyle Kuzma,PF,MIN@LAL,LAL,26.29,5258,6000,-$742,27.13,5088,23.57,29.43,32.93,20.0, , ,0.0,0.0
42,Robert Williams,C,UTA@BOS,BOS,13.24,2649,6000,-$3351,12.81,2403,22.72,20.84,32.77,27.0, , ,2.1526485922937058,0.0
43,Kevin Porter,SF,ATL@HOU,HOU,17.33,3467,6000,-$2533,17.81,3339,37.17,21.21,32.47,17.0, , ,1.9639758713295201,0.0
44,Malik Beasley,SF,MIN@LAL,MIN,30.72,6144,5900,$244,33.36,6255,31.12,34.85,32.7,9.0,O,Suspension,0.0,0.0
45,Marcus Smart,SG,UTA@BOS,BOS,25.36,5071,5900,-$829,26.1,4894,29.41,31.56,33.03,6.0, , ,0.0,0.0
46,Coby White,PG,OKC@CHI,CHI,24.18,4836,5900,-$1064,25.51,4784,28.69,28.09,30.93,11.0, , ,0.0,0.0
47,Derrick Rose,PG,NY@PHI,NY,20.78,4156,5900,-$1744,21.42,4017,25.64,26.17,27.0,9.0,GTD,Covid-19,0.0,0.0
48,Steven Adams,C,NO@POR,NO,19.31,3863,5700,-$1837,19.28,3615,25.13,22.39,16.9,28.0, , ,0.0,0.0
49,Kevin Huerter,SG,ATL@HOU,ATL,22.29,4457,5700,-$1243,23.68,4441,25.36,30.0,30.3,30.0, , ,0.0,0.0
50,RJ Barrett,SF,NY@PHI,NY,23.58,4715,5700,-$985,24.78,4646,29.69,22.66,26.23,22.0, , ,0.0,0.0
51,Kelly Olynyk,C,CLE@MIA,MIA,28.32,5663,5600,$63,28.69,5379,24.2,29.11,36.03,25.0, , ,0.10316854983769058,0.0
52,Kris Dunn,PG,ATL@HOU,ATL,7.71,1543,5600,-$4057,7.59,1423,22.39,23.42,16.03,15.0,O,Ankle,0.0,0.8470893494296023
53,Jusuf Nurkic,C,NO@POR,POR,23.01,4601,5600,-$999,23.03,4318,26.74,27.67,29.17,9.0,O,Wrist,0.0,0.0
54,Danilo Gallinari,SF,ATL@HOU,ATL,18.85,3769,5600,-$1831,20.02,3754,20.08,22.69,33.03,6.0, , ,1.6226204719252415,0.0
55,Jordan Clarkson,SG,UTA@BOS,UTA,21.22,4245,5500,-$1255,22.94,4302,27.69,24.3,23.47,23.0, , ,0.0,0.0
56,Bojan Bogdanovic,SF,UTA@BOS,UTA,23.42,4683,5500,-$817,24.02,4503,23.24,31.1,33.8,15.0, , ,0.0,0.0
57,Wendell Carter,C,OKC@CHI,CHI,23.71,4743,5500,-$757,23.27,4363,27.47,27.9,23.97,21.0, , ,0.0,0.0
58,Lauri Markkanen,PF,OKC@CHI,CHI,27.06,5412,5500,-$88,27.88,5228,28.99,28.52,32.0,10.0, , ,0.0,0.0
59,Goran Dragic,PG,CLE@MIA,MIA,20.59,4118,5500,-$1382,21.26,3986,25.44,24.71,24.33,10.0, , ,0.0,0.0
60,Larry Nance,SF,CLE@MIA,CLE,18.95,3791,5400,-$1609,18.68,3502,26.9,25.46,23.33,15.0, , ,0.0,0.0
61,Seth Curry,SG,NY@PHI,PHI,15.91,3182,5400,-$2218,16.68,3127,21.83,19.65,23.1,5.0, , ,0.0,0.0
62,Jae'Sean Tate,PF,ATL@HOU,HOU,19.64,3927,5300,-$1373,19.77,3708,22.14,22.46,23.2, , , ,0.0,0.0
63,Shake Milton,PG,NY@PHI,PHI,15.02,3004,5300,-$2296,15.68,2940,22.01,21.69,26.2,5.0, , ,0.0,0.0
64,Gary Trent,SG,NO@POR,POR,21.22,4244,5300,-$1056,23.02,4316,22.47,26.04,22.53,27.0, , ,0.0,0.0
65,Nerlens Noel,C,NY@PHI,NY,20.09,4018,5300,-$1282,18.55,3479,20.3,24.26,26.27,1.0, , ,0.0,0.0
66,Carmelo Anthony,SF,NO@POR,POR,20.3,4060,5300,-$1240,21.18,3971,24.71,27.7,35.97,21.0, , ,0.6169202237183772,0.0
67,Ricky Rubio,PG,MIN@LAL,MIN,20.2,4039,5200,-$1161,20.93,3924,23.51,25.79,25.17,5.0, , ,0.0,0.0
68,Dwight Howard,C,NY@PHI,PHI,19.25,3850,5200,-$1350,19.11,3583,18.92,18.27,27.13,11.0, , ,1.3615466185882774,0.0
69,Immanuel Quickley,SG,NY@PHI,NY,19.44,3888,5200,-$1312,20.57,3857,20.25,19.84,19.13, , , ,0.0,0.0
70,Eric Gordon,SF,ATL@HOU,HOU,25.15,5030,5100,-$70,27.07,5075,25.45,28.7,26.83,24.0,O,Groin,0.0,0.0
71,Kendrick Nunn,PG,CLE@MIA,MIA,19.96,3992,5100,-$1108,20.64,3869,24.12,23.88,18.53,26.0, , ,0.0,0.0
72,Darius Bazley,PF,OKC@CHI,OKC,28.06,5611,5000,$611,28.29,5305,24.78,27.29,23.23,23.0,O,Shoulder,0.0,0.0
73,Eric Bledsoe,SG,NO@POR,NO,17.5,3499,5000,-$1501,18.16,3405,23.19,20.62,28.87,24.0, , ,0.9830519442097114,0.0
74,Josh Hart,SF,NO@POR,NO,25.51,5101,5000,$101,25.81,4838,23.15,25.65,26.33,13.0, , ,0.0,0.0
75,Kevin Love,PF,CLE@MIA,CLE,21.41,4283,5000,-$717,21.23,3980,11.52,31.4,15.37,22.0,GTD,Calf,0.0,3.9444563763717815
76,Sterling Brown,PG,ATL@HOU,HOU,17.86,3572,5000,-$1428,18.51,3471,17.93,19.99,19.2,17.0, , ,0.0,0.0
77,Justin Patton,C,ATL@HOU,HOU,14.2,2840,5000,-$2160,14.06,2636,21.63,17.39,26.53,22.0, , ,1.517496278638106,0.0
78,Elfrid Payton,PG,NY@PHI,NY,19.68,3935,4900,-$965,20.36,3817,23.51,26.54,24.7,9.0,GTD,Hamstring,0.0,0.0
79,Mitchell Robinson,C,NY@PHI,NY,23.32,4664,4900,-$236,22.11,4146,26.56,28.64,25.1,1.0,O,Hand,0.0,0.0
80,Luguentz Dort,SF,OKC@CHI,OKC,15.82,3163,4800,-$1637,16.43,3081,20.93,20.3,22.37,16.0,GTD,Toe,0.0,0.0
81,David Nwaba,SF,ATL@HOU,HOU,17.74,3549,4800,-$1251,17.5,3282,20.0,22.91,23.03,26.5,O,Wrist,0.0,0.0
82,Danny Green,SF,NY@PHI,PHI,23.36,4672,4700,-$28,24.43,4582,20.76,18.23,16.9,5.0, , ,0.0,0.0
83,Daniel Theis,PF,UTA@BOS,BOS,15.48,3097,4700,-$1603,15.09,2829,21.31,22.55,20.83,27.0, , ,0.0,0.0
84,Tristan Thompson,C,UTA@BOS,BOS,17.44,3488,4700,-$1212,17.36,3256,20.71,20.26,21.03,27.0, , ,0.0,0.0
85,Cam Reddish,SG,ATL@HOU,ATL,14.85,2970,4700,-$1730,15.42,2891,21.59,20.0,12.23,4.0,O,Achilles,0.0,1.4505151234441434
86,Isaiah Roby,PF,OKC@CHI,OKC,19.92,3984,4700,-$716,19.57,3669,20.47,23.89,23.0,16.0, , ,0.0,0.0
87,Joe Ingles,SG,UTA@BOS,UTA,22.64,4528,4700,-$172,23.51,4408,22.5,23.65,17.4,15.0, , ,0.0,0.0
88,Alec Burks,SG,NY@PHI,NY,17.67,3533,4600,-$1067,18.33,3438,21.49,20.03,20.1,22.0, , ,0.0,0.0
