,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
129,Alfonzo McKinnie,SF,MIN@LAL,LAL,3.83,766,3500,-$2734,3.86,724,4.12,5.15,8.83,12.0, , ,0.0,0.0
130,Gabe Vincent,PG,CLE@MIA,MIA,5.17,1034,3500,-$2466,5.2,975,9.88,4.2,6.83,10.0,GTD,Knee,0.0,0.0
131,Theo Pinson,SG,NY@PHI,NY,0.5,99,3500,-$3401,0.47,87,0.38,0.35,0.0,15.5, , ,0.0,0.0
132,Chris Silva,PF,CLE@MIA,MIA,4.46,892,3500,-$2608,4.46,835,8.44,9.27,9.3,27.0, , ,0.0,0.0
133,Rodney Hood,SG,NO@POR,POR,10.83,2165,3500,-$1335,11.34,2125,10.04,12.86,7.97,29.0, , ,0.0,0.0
134,Juwan Morgan,PF,UTA@BOS,UTA,1.07,213,3500,-$3287,1.02,192,3.05,1.08,0.0,2.0, , ,0.0,0.0
135,Avery Bradley,SG,CLE@MIA,MIA,11.26,2252,3500,-$1248,11.69,2191,14.26,14.26,10.83,26.0,GTD,Calf,0.0,0.0
136,Devontae Cacok,PF,MIN@LAL,LAL,4.12,825,3500,-$2675,4.09,767,5.42,6.3,5.33,16.0, , ,0.0,0.0
137,Solomon Hill,SF,ATL@HOU,ATL,7.19,1438,3500,-$2062,7.53,1412,10.31,9.11,9.0,4.0, , ,0.0,0.0
138,Jared Harper,PG,NY@PHI,NY,0.46,93,3500,-$3407,0.55,104,0.0,0.5,0.0,15.5, , ,0.0,0.0
139,Keljin Blevins,PG,NO@POR,POR,1.69,338,3500,-$3162,1.66,310,1.71,1.71,1.0, , , ,0.0,0.0
140,Derrick Favors,C,UTA@BOS,UTA,16.55,3310,3500,-$190,15.72,2948,17.38,17.86,12.1,24.0, , ,0.0,0.0
141,Javonte Green,SG,UTA@BOS,BOS,3.06,612,3500,-$2888,2.98,559,10.02,8.23,4.97,9.0, , ,0.0,0.0
142,Max Strus,SF,CLE@MIA,MIA,5.55,1109,3500,-$2391,5.8,1087,9.47,11.13,9.8,26.0, , ,0.0,0.0
143,Wesley Matthews,SG,MIN@LAL,LAL,12.57,2514,3500,-$986,12.71,2384,9.52,12.68,5.8,25.0, , ,0.0,1.1333660261499068
144,Tacko Fall,C,UTA@BOS,BOS,7.21,1442,3500,-$2058,6.75,1265,9.64,10.02,7.9,27.0, , ,0.0,0.0
145,Reggie Bullock,SG,NY@PHI,NY,17.29,3458,3500,-$42,18.02,3380,16.62,16.25,12.73,22.0, , ,0.0,0.0
146,Ed Davis,C,MIN@LAL,MIN,6.35,1270,3500,-$2230,6.1,1144,12.73,12.83,8.2,16.0, , ,0.0,0.0
147,Nathan Knight,PF,ATL@HOU,ATL,4.07,813,3500,-$2687,4.17,782,8.22,5.75,6.93, , , ,0.0,0.0
148,Jordan McLaughlin,PG,MIN@LAL,MIN,13.49,2697,3500,-$803,13.93,2611,17.7,22.19,19.6,5.0,O,Covid-19,0.0,0.0
149,Nicolo Melli,PF,NO@POR,NO,3.52,703,3500,-$2797,3.58,671,7.74,6.41,13.7,28.0, , ,1.371952724007827,0.0
150,Tony Snell,SG,ATL@HOU,ATL,8.65,1730,3500,-$1770,8.86,1661,10.27,13.32,17.17,4.0, , ,0.0,0.0
151,Georges Niang,PF,UTA@BOS,UTA,10.74,2147,3500,-$1353,11.0,2063,9.63,12.08,10.83,2.0, , ,0.0,0.0
152,Sindarius Thornwell,SG,NO@POR,NO,1.61,321,3500,-$3179,1.67,312,3.07,2.51,4.13,22.5, , ,0.0,0.0
153,Damian Jones,C,MIN@LAL,LAL,2.97,594,3500,-$2906,2.9,543,6.01,3.9,6.53,19.0, , ,0.0,0.0
154,Luke Kornet,PF,OKC@CHI,CHI,3.79,757,3500,-$2743,3.62,680,6.33,7.08,3.5,21.0, , ,0.0,0.0
155,Damyean Dotson,PG,CLE@MIA,CLE,10.44,2089,3500,-$1411,10.43,1956,13.05,10.78,7.63,15.0, , ,0.0,0.0
156,Kenyon Martin,SF,ATL@HOU,HOU,13.94,2788,3500,-$712,14.03,2632,17.54,15.34,27.17, , , ,2.4159559036625597,0.0
157,Anthony Lamb,SF,ATL@HOU,HOU,3.88,777,3500,-$2723,4.27,800,7.03,0.0,0.0, , , ,0.0,0.0
158,Ryan Arcidiacono,PG,OKC@CHI,CHI,2.98,595,3500,-$2905,2.94,552,7.52,6.42,5.7,15.0, , ,0.0,0.0
159,Kevin Knox,SF,NY@PHI,NY,2.93,587,3500,-$2913,2.92,548,8.95,5.48,4.2,11.0, , ,0.0,0.0
160,Josh Okogie,SF,MIN@LAL,MIN,9.38,1876,3500,-$1624,9.49,1779,12.91,12.3,13.0,9.0, , ,0.0,0.0
161,Rodions Kurucs,PF,ATL@HOU,HOU,2.03,407,3500,-$3093,2.02,379,3.92,3.65,3.23,15.0,GTD,Oblique,0.0,0.0
162,Quinn Cook,PG,CLE@MIA,CLE,5.16,1033,3500,-$2467,5.41,1015,4.84,5.77,8.93,3.0, , ,0.0,0.0
163,Chandler Hutchison,SF,OKC@CHI,CHI,6.0,1199,3500,-$2301,5.79,1085,5.86,9.17,0.53,30.0, , ,0.0,4.41033880067842
164,Jake Layman,SF,MIN@LAL,MIN,10.11,2022,3500,-$1478,10.49,1967,12.53,13.21,15.1,12.0, , ,0.0,0.0
165,KZ Okpala,SF,CLE@MIA,MIA,4.83,966,3500,-$2534,4.67,875,6.62,5.43,14.53,10.0, , ,2.305220573918973,0.0
166,Jarrell Brantley,SF,UTA@BOS,UTA,1.36,272,3500,-$3228,1.27,239,2.44,2.44,3.07,2.0, , ,0.0,0.0
167,Austin Rivers,PG,NY@PHI,NY,8.05,1610,3500,-$1890,8.34,1565,13.69,12.45,6.23,22.0,GTD,Personal,0.0,0.0
168,Anfernee Simons,PG,NO@POR,POR,10.5,2100,3500,-$1400,10.76,2018,13.42,16.02,9.0,27.0, , ,0.0,1.013228677058385
169,Tremont Waters,PG,UTA@BOS,BOS,6.48,1296,3500,-$2204,7.07,1325,9.26,9.26,8.53,4.0, , ,0.0,0.0
170,Rajon Rondo,PG,ATL@HOU,ATL,8.94,1788,3500,-$1712,9.03,1693,12.35,12.58,13.83,14.0, , ,0.0,0.0
