,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
34,Kelly Oubre,SF,DEN@GS,GS,28.17,3.23,1.72,1.29,5.5,1.22,0.56,0.55,1.68,20.0, , 
35,Darius Bazley,PF,WAS@OKC,OKC,32.81,3.51,1.19,1.84,6.34,1.36,0.38,0.62,1.82,9.0, , 
36,P.J. Washington,PF,CLE@CHA,CHA,33.58,2.58,4.84,0.97,5.17,1.99,0.79,0.65,1.04,30.0, , 
37,Jarrett Allen,C,CLE@CHA,CLE,23.0,3.09,0.14,1.35,7.73,0.52,0.61,0.34,1.16,4.0, , 
38,Will Barton,SG,DEN@GS,DEN,28.83,3.31,2.19,2.82,4.28,3.75,0.23,1.05,1.47,17.0, , 
39,Kyle Anderson,SF,MEM@POR,MEM,24.05,2.75,1.16,2.96,5.98,3.41,0.63,1.45,1.13,11.0, , 
40,Kevin Love,PF,CLE@CHA,CLE,26.26,2.01,3.35,1.71,6.05,2.03,0.23,0.65,1.41,26.0, , 
41,Bruce Brown,SG,BOS@BKN,BKN,23.71,3.06,1.15,0.66,5.96,1.64,0.63,0.59,1.01,11.0, , 
42,Norman Powell,SF,MEM@POR,POR,29.78,3.44,1.01,2.85,2.97,2.12,0.33,1.13,1.36,23.0, , 
43,Larry Nance,PF,CLE@CHA,CLE,21.21,1.73,1.59,0.57,4.02,1.44,0.36,0.84,1.11,4.0, , 
44,Devonte' Graham,SG,CLE@CHA,CHA,28.88,1.89,3.07,2.48,3.48,4.22,0.11,1.34,1.39,17.0, , 
45,Kevin Porter,SF,LAC@HOU,HOU,29.49,2.63,2.41,1.9,2.95,4.32,0.3,0.84,2.04,3.0,O,Covid-19
46,Jae'Sean Tate,PF,LAC@HOU,HOU,21.59,2.56,0.84,1.2,3.97,2.14,0.26,0.57,1.19,15.5, , 
47,Victor Oladipo,SG,MIA@ATL,MIA,27.88,5.07,1.94,3.95,4.99,4.54,0.32,1.64,2.63,16.0,O,Knee
48,Jaren Jackson,PF,MEM@POR,MEM,17.1,2.59,1.07,0.8,3.42,1.36,0.7,0.31,1.03,21.0, , 
49,Jusuf Nurkic,C,MEM@POR,POR,23.48,2.46,0.46,1.16,5.66,2.16,0.65,0.88,1.53,22.0, , 
50,Moses Brown,C,WAS@OKC,OKC,16.79,2.99,0.03,0.32,6.11,0.24,0.43,0.38,0.85,28.0, , 
51,Evan Fournier,SG,BOS@BKN,BOS,26.79,2.96,3.46,2.14,2.88,2.7,0.32,0.92,1.52,1.0,O,Covid-19
52,Luguentz Dort,SF,WAS@OKC,OKC,30.91,3.12,3.95,2.43,3.86,2.35,0.25,1.17,1.24,22.0,GTD,Hip
53,Marcus Morris,PF,LAC@HOU,LAC,25.51,2.46,3.19,1.33,4.82,1.42,0.23,0.42,1.18,8.0, , 
54,Ivica Zubac,C,LAC@HOU,LAC,23.76,3.5,0.02,1.75,6.26,1.85,0.56,0.08,1.13,24.0, , 
55,Tyler Herro,SG,MIA@ATL,MIA,25.32,2.43,3.22,1.51,3.89,2.38,0.08,0.97,1.2,16.0,GTD,Foot
56,Goran Dragic,PG,MIA@ATL,MIA,23.61,2.63,2.07,2.05,3.79,3.08,0.14,0.87,1.39,27.0, , 
57,Enes Kanter,C,MEM@POR,POR,20.21,3.52,0.0,0.57,8.68,0.41,0.64,0.3,1.25,22.0, , 
58,Reggie Jackson,PG,LAC@HOU,LAC,28.07,2.98,2.53,2.63,4.38,3.27,0.33,0.76,1.36,23.0, , 
59,Robert Williams,C,BOS@BKN,BOS,27.28,3.9,0.0,1.24,6.97,2.25,1.44,0.36,1.24,30.0,O,Knee
60,Kenrich Williams,SF,WAS@OKC,OKC,21.84,2.51,1.25,1.13,3.61,2.61,0.1,0.95,1.08,9.0, , 
61,Danilo Gallinari,SF,MIA@ATL,ATL,30.62,2.47,3.23,2.87,5.69,1.63,0.29,0.94,1.06,7.0,GTD,Foot
62,Robert Covington,PF,MEM@POR,POR,28.28,1.32,1.72,0.56,4.92,0.74,0.68,0.63,0.89,24.0, , 
63,Kevin Huerter,SG,MIA@ATL,ATL,30.01,2.2,1.52,1.21,2.57,2.33,0.18,0.7,1.15,9.0, , 
64,Kendrick Nunn,PG,MIA@ATL,MIA,26.93,2.48,1.91,1.53,2.84,2.47,0.01,0.89,1.0,16.0, , 
65,Daniel Gafford,PF,WAS@OKC,WAS,19.79,2.2,0.0,0.72,4.79,0.74,0.71,0.23,0.8,20.0, , 
66,Jalen McDaniels,PF,CLE@CHA,CHA,26.65,2.17,0.62,0.85,3.82,1.85,0.37,0.53,1.06,30.0, , 
67,Kent Bazemore,SF,DEN@GS,GS,24.6,1.77,2.45,1.12,3.4,1.72,0.29,0.9,1.13,20.0, , 
68,Malik Monk,SG,CLE@CHA,CHA,25.95,2.45,2.78,1.73,3.18,2.52,0.16,0.73,1.41,27.0,O,Ankle
69,Joe Harris,SF,BOS@BKN,BKN,30.37,2.21,2.7,0.85,4.01,2.43,0.14,0.5,0.99,7.0, , 
