,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
115,Serge Ibaka,PF,LAC@HOU,LAC,13.78,2.12,0.19,0.75,4.18,1.13,0.6,0.11,0.57,24.0,O,Back
116,Grant Williams,PF,BOS@BKN,BOS,18.92,0.9,0.64,0.59,1.68,1.31,0.16,0.5,0.57,28.0, , 
117,Romeo Langford,SG,BOS@BKN,BOS,14.59,0.61,0.22,0.14,0.95,0.54,0.09,0.34,0.23,1.0, , 
118,Danuel House,SF,LAC@HOU,HOU,12.81,0.74,0.21,0.71,2.27,0.64,0.12,0.29,0.57,3.0,GTD,Ankle
119,Isaiah Roby,PF,WAS@OKC,OKC,22.76,2.36,0.55,0.34,4.0,1.64,0.36,0.67,1.15,22.0, , 
120,Cody Martin,SG,CLE@CHA,CHA,15.35,0.78,0.17,0.26,1.93,1.24,0.17,0.5,0.59,6.0, , 
121,Nicolas Claxton,PF,BOS@BKN,BKN,17.4,1.69,0.0,0.55,3.8,1.17,0.59,0.41,0.6,2.0,O,Covid-19
122,Onyeka Okongwu,C,MIA@ATL,ATL,14.39,1.9,0.01,0.7,3.54,0.35,0.42,0.41,0.72,15.5, , 
123,Precious Achiuwa,PF,MIA@ATL,MIA,7.32,0.66,0.0,0.21,1.22,0.2,0.06,0.23,0.14,15.5, , 
124,Isaac Okoro,SG,CLE@CHA,CLE,23.18,2.18,0.8,1.56,3.52,1.64,0.32,0.71,1.12,15.5, , 
125,Juan Toscano-Anderson,PF,DEN@GS,GS,16.97,0.87,0.51,0.44,3.28,1.18,0.23,0.38,0.65,20.0,GTD,Concussion
126,Dewayne Dedmon,C,MIA@ATL,MIA,14.18,1.21,0.37,0.19,3.07,0.51,0.31,0.21,0.36,17.0, , 
127,Desmond Bane,SG,MEM@POR,MEM,22.69,1.76,1.12,1.13,4.05,1.67,0.41,0.6,0.9,15.5, , 
128,Damion Lee,SG,DEN@GS,GS,21.02,0.9,1.53,0.56,2.81,0.96,0.2,0.57,0.76,20.0,O,Covid-19
129,Semi Ojeleye,SF,BOS@BKN,BOS,15.51,0.68,1.07,0.63,1.24,0.8,0.12,0.37,0.35,28.0, , 
130,Solomon Hill,SF,MIA@ATL,ATL,23.02,0.86,0.81,0.38,3.68,0.82,0.14,0.64,0.59,10.0, , 
131,PJ Dozier,SG,DEN@GS,DEN,19.45,1.61,1.12,1.47,2.89,1.82,0.11,0.83,0.68,12.0, , 
132,Ish Smith,PG,WAS@OKC,WAS,18.05,1.89,0.42,1.26,2.8,2.04,0.29,0.55,1.12,21.0, , 
133,Anfernee Simons,PG,MEM@POR,POR,10.42,0.43,1.41,0.74,0.81,0.8,0.09,0.33,0.41,23.0, , 
134,Alize Johnson,PF,BOS@BKN,BKN,12.25,0.91,0.1,0.04,2.12,0.38,0.2,0.0,0.32,7.0, , 
135,Shaquille Harrison,PG,DEN@GS,DEN,9.04,0.35,0.03,0.17,0.49,0.5,0.09,0.1,0.19,17.0, , 
136,Sterling Brown,SG,LAC@HOU,HOU,10.92,0.38,0.42,0.2,1.68,0.18,0.1,0.23,0.31,3.0,GTD,Knee
137,Derrick Jones,SF,MEM@POR,POR,11.79,0.46,0.19,0.21,1.47,0.14,0.3,0.24,0.33,19.0,GTD,Hip
138,Avery Bradley,SG,LAC@HOU,HOU,16.83,0.73,1.17,0.65,1.8,0.96,0.16,0.29,0.48,19.0, , 
139,Jaylen Hoard,SF,WAS@OKC,OKC,14.59,1.67,0.0,0.46,2.27,0.76,0.2,0.25,0.87,22.0, , 
140,Caleb Martin,SF,CLE@CHA,CHA,16.31,0.77,0.19,0.54,2.56,1.08,0.12,0.37,0.51,6.0, , 
141,Kenyon Martin,PF,LAC@HOU,HOU,19.55,1.65,0.15,0.88,3.58,0.34,0.55,0.17,0.36,15.5, , 
142,Brad Wanamaker,PG,CLE@CHA,CHA,17.06,2.03,0.42,1.57,2.13,3.21,0.22,0.62,1.33,17.0, , 
143,Luke Kornet,PF,BOS@BKN,BOS,13.23,0.67,0.35,0.54,1.46,0.69,0.4,0.23,0.32,30.0, , 
144,Deni Avdija,SF,WAS@OKC,WAS,18.7,1.62,0.72,1.31,5.44,0.82,0.26,0.41,0.98,15.5,O,Ankle
145,Spencer Dinwiddie,SG,BOS@BKN,BKN,17.27,2.66,1.17,2.21,2.5,3.16,0.28,0.55,1.34,11.0,O,Knee
146,Tyus Jones,PG,MEM@POR,MEM,17.85,1.47,0.77,1.5,2.2,2.64,0.1,0.76,0.85,15.0, , 
147,Rajon Rondo,PG,LAC@HOU,LAC,21.9,1.62,0.55,1.44,2.75,3.66,0.25,0.72,1.3,23.0,GTD,Wrist
148,Raul Neto,PG,WAS@OKC,WAS,22.89,1.81,1.08,1.18,2.24,1.71,0.22,0.57,1.02,21.0, , 
149,Dean Wade,PF,CLE@CHA,CLE,15.16,0.96,0.76,0.69,4.04,0.99,0.29,0.47,0.74,26.0, , 
150,Vernon Carey,PF,CLE@CHA,CHA,5.99,0.18,0.08,0.01,0.59,0.18,0.09,0.01,0.15,15.5, , 
151,Garrison Mathews,SF,WAS@OKC,WAS,8.26,0.04,0.43,0.25,0.44,0.23,0.05,0.11,0.2,21.0, , 
152,Gabe Vincent,PG,MIA@ATL,MIA,5.45,0.23,0.25,0.14,0.43,0.34,0.0,0.11,0.11,27.0,GTD,Knee
153,JaVale McGee,C,DEN@GS,DEN,11.48,1.48,0.0,0.0,2.37,0.34,0.51,0.18,0.47,9.0, , 
154,Mychal Mulder,SF,DEN@GS,GS,10.22,0.19,0.7,0.19,0.75,0.32,0.05,0.17,0.28,20.0, , 
155,Patrick Patterson,PF,LAC@HOU,LAC,13.61,0.94,0.84,0.99,1.44,1.06,0.18,0.11,0.32,8.0, , 
156,DaQuan Jeffries,SF,LAC@HOU,HOU,13.53,0.0,0.19,0.0,0.56,0.17,0.09,0.02,0.07,19.0, , 
157,Keljin Blevins,PG,MEM@POR,POR,4.62,0.0,0.02,0.01,0.0,0.08,0.02,0.1,0.06,15.5,GTD,Covid-19
158,Jamal Murray,PG,DEN@GS,DEN,34.56,3.83,1.8,2.64,4.21,4.31,0.31,0.96,1.94,12.0,O,Knee
159,Max Strus,SF,MIA@ATL,MIA,7.7,0.22,0.25,0.11,0.43,0.32,0.0,0.13,0.12,16.0, , 
160,Tacko Fall,C,BOS@BKN,BOS,10.14,0.79,0.09,0.37,1.3,0.35,0.16,0.19,0.35,30.0, , 
161,LaMelo Ball,PG,CLE@CHA,CHA,27.06,3.52,1.67,2.8,5.41,4.79,0.29,1.53,2.04,15.5,O,Wrist
162,Nemanja Bjelica,PF,MIA@ATL,MIA,14.87,1.13,0.49,0.49,2.46,1.24,0.0,0.49,0.6,19.0, , 
163,Nathan Knight,PF,MIA@ATL,ATL,3.06,0.27,0.0,0.25,0.41,0.15,0.05,0.09,0.11,15.5, , 
164,Matthew Dellavedova,PG,CLE@CHA,CLE,16.84,0.75,0.53,1.04,1.32,2.51,0.0,0.68,0.64,7.0, , 
165,Tony Snell,SF,MIA@ATL,ATL,18.71,0.86,0.48,0.96,3.03,1.13,0.31,0.58,0.61,10.0,GTD,Ankle
166,Damyean Dotson,PG,CLE@CHA,CLE,14.2,0.69,0.53,0.51,1.46,0.84,0.11,0.41,0.55,13.0,GTD,Knee
167,Anthony Gill,PF,WAS@OKC,WAS,4.23,0.03,0.0,0.04,0.18,0.03,0.06,0.05,0.06,15.5, , 
168,Cedi Osman,SF,CLE@CHA,CLE,18.04,1.37,1.03,1.14,2.75,1.6,0.24,0.47,0.87,30.0, , 
169,Gary Payton II,SG,DEN@GS,GS,8.06,0.59,0.07,0.12,1.62,0.77,0.11,0.55,0.42,8.0, , 
170,Rondae Hollis-Jefferson,PF,MEM@POR,POR,15.18,1.31,0.01,0.84,1.9,1.18,0.24,0.17,0.51,19.0, , 
171,Tyler Johnson,PG,BOS@BKN,BKN,16.09,0.73,0.66,0.68,1.98,1.01,0.13,0.23,0.32,16.5,GTD,Knee
172,Timothe Luwawu-Cabarrot,SF,BOS@BKN,BKN,21.0,0.95,1.14,0.59,2.04,1.57,0.17,0.24,0.54,11.0, , 
173,Bismack Biyombo,C,CLE@CHA,CHA,11.33,1.1,0.0,0.17,2.96,0.94,0.29,0.3,0.52,26.0, , 
174,Klay Thompson,SG,DEN@GS,GS,39.61,4.72,2.93,2.13,4.12,2.48,0.56,0.87,1.97,20.0,O,Achilles
175,Anthony Lamb,SF,LAC@HOU,HOU,7.36,0.13,0.1,0.1,0.63,0.0,0.03,0.01,0.04,15.5, , 
176,Patrick Beverley,PG,LAC@HOU,LAC,21.1,1.97,1.14,2.25,3.87,2.45,0.52,0.68,0.87,23.0,O,Hand
177,Tim Frazier,PG,MEM@POR,MEM,12.26,0.54,0.2,0.49,0.89,1.35,0.1,0.5,0.47,15.5, , 
178,Chandler Hutchison,SF,WAS@OKC,WAS,16.48,1.08,0.3,0.44,2.57,0.65,0.19,0.09,0.69,29.0, , 
179,Killian Tillie,PF,MEM@POR,MEM,7.54,0.26,0.15,0.14,0.45,0.13,0.12,0.15,0.03,15.5, , 
180,Justise Winslow,SF,MEM@POR,MEM,16.8,2.22,0.2,0.65,3.34,1.13,0.32,0.38,0.8,12.0, , 
181,KZ Okpala,SF,MIA@ATL,MIA,12.74,0.76,0.52,0.0,2.04,0.4,0.24,0.21,0.22,12.0, , 
182,Bol Bol,C,DEN@GS,DEN,4.24,0.17,0.06,0.1,0.31,0.19,0.08,0.03,0.08,9.0, , 
183,Al Horford,PF,WAS@OKC,OKC,25.33,4.09,1.52,1.98,5.72,3.03,0.76,1.26,1.43,28.0,O,Coach's decision
184,David Nwaba,SF,LAC@HOU,HOU,16.28,1.88,0.07,0.76,3.37,0.45,0.41,0.14,0.43,15.0,O,Wrist
185,Tremont Waters,PG,BOS@BKN,BOS,8.65,0.45,0.19,0.54,0.4,0.78,0.02,0.28,0.27,19.0, , 
186,Thomas Bryant,C,WAS@OKC,WAS,14.35,2.67,0.24,0.89,4.25,1.01,0.54,0.18,1.12,20.0,O,Knee
187,Eric Paschall,C,DEN@GS,GS,17.98,1.82,0.54,1.57,2.76,1.11,0.23,0.75,0.85,22.0,GTD,Hip
188,Isaac Bonga,PF,WAS@OKC,WAS,10.35,0.21,0.13,0.14,0.78,0.32,0.12,0.18,0.35,29.0, , 
189,Bruno Fernando,PF,MIA@ATL,ATL,4.42,0.08,0.06,0.08,0.31,0.08,0.04,0.07,0.08,18.0, , 
190,D.J. Augustin,PG,LAC@HOU,HOU,15.4,0.69,0.5,1.0,0.94,1.57,0.1,0.23,0.49,11.0,GTD,Ankle
191,Chris Chiozza,PG,BOS@BKN,BKN,17.72,1.08,0.66,1.21,1.77,2.55,0.23,0.41,0.8,22.0,O,Hand
192,Carsen Edwards,PG,BOS@BKN,BOS,9.0,0.33,0.15,0.02,0.27,0.27,0.05,0.09,0.19,1.0, , 
193,Dylan Windler,SG,CLE@CHA,CLE,11.7,0.48,0.2,0.02,1.71,0.4,0.11,0.3,0.42,21.5,O,Knee
194,Nassir Little,SF,MEM@POR,POR,11.99,0.83,0.21,0.38,2.34,0.52,0.16,0.11,0.5,24.0, , 
195,Justin Robinson,PG,WAS@OKC,OKC,8.26,0.21,0.17,0.07,0.42,0.32,0.01,0.21,0.3,15.5, , 
196,Dante Exum,PG,LAC@HOU,HOU,11.94,0.4,0.17,0.13,0.79,0.59,0.09,0.3,0.29,13.0,O,Calf
197,John Konchar,SG,MEM@POR,MEM,12.72,0.5,0.3,0.31,1.34,0.81,0.19,0.34,0.43,25.0, , 
198,Mfiondu Kabengele,SF,CLE@CHA,CLE,9.77,0.16,0.11,0.16,0.28,0.15,0.01,0.1,0.14,4.0, , 
199,Jontay Porter,SF,MEM@POR,MEM,6.88,0.14,0.22,0.0,0.51,0.1,0.08,0.11,0.18,16.0, , 
200,Nate Darling,SG,CLE@CHA,CHA,7.21,0.12,0.13,0.16,0.29,0.28,0.1,0.07,0.13,15.5,O,Ankle
201,Jordan Bell,PF,WAS@OKC,WAS,13.91,0.78,0.01,0.42,1.87,0.52,0.27,0.3,0.5,25.0, , 
202,Brodric Thomas,SG,CLE@CHA,CLE,6.59,0.1,0.1,0.16,0.16,0.18,0.0,0.15,0.12,15.5, , 
203,Udonis Haslem,PF,MIA@ATL,MIA,12.74,0.48,0.37,0.19,1.46,0.32,0.01,0.11,0.25,19.0, , 
204,Amir Coffey,PF,LAC@HOU,LAC,17.18,0.97,0.3,1.25,1.53,1.2,0.04,0.14,0.45,30.0, , 
205,Skylar Mays,SG,MIA@ATL,ATL,6.2,0.16,0.03,0.17,0.46,0.15,0.02,0.15,0.14,15.5, , 
206,CJ Elleby,SF,MEM@POR,POR,7.05,0.11,0.17,0.03,0.3,0.0,0.05,0.14,0.16,15.5, , 
207,Zeke Nnaji,PF,DEN@GS,DEN,7.54,0.32,0.05,0.05,0.79,0.3,0.13,0.05,0.15,15.5, , 
208,Grant Riller,SG,CLE@CHA,CHA,6.61,0.1,0.22,0.06,0.31,0.3,0.09,0.07,0.15,15.5, , 
209,Josh Hall,SF,WAS@OKC,OKC,12.04,0.7,0.12,0.71,1.21,0.96,0.08,0.31,0.64,15.5,O,Knee
210,Nick Richards,C,CLE@CHA,CHA,5.22,0.12,0.0,0.1,0.31,0.18,0.03,0.04,0.11,15.5, , 
